GE;PE;CL;AV;planta;nota;Y
IAC_2000;tangerina_cleopatra;22;5;8;0,3;0,154
IAC_2000;tangerina_cleopatra;22;5;9;0,4;0,231
IAC_2000;tangerina_cleopatra;22;5;10;0;0
IAC_2000;tangerina_cleopatra;22;6;1;0;0
IAC_2000;tangerina_cleopatra;22;6;2;0;0
IAC_2000;tangerina_cleopatra;22;6;3;0;0
IAC_2000;tangerina_cleopatra;22;6;4;0;0
IAC_2000;tangerina_cleopatra;22;6;5;0;0
IAC_2000;tangerina_cleopatra;22;6;6;0;0
IAC_2000;tangerina_cleopatra;22;6;7;0;0
IAC_2000;tangerina_cleopatra;22;6;8;0;0
IAC_2000;tangerina_cleopatra;22;6;9;0;0
IAC_2000;tangerina_cleopatra;22;6;10;0,5;0,154
Olimpia;tangerina_cleopatra;23;2;1;1;0,043
Olimpia;tangerina_cleopatra;23;2;2;0;0
Olimpia;tangerina_cleopatra;23;2;3;0,5;0,02
Olimpia;tangerina_cleopatra;23;2;4;0;0
Olimpia;tangerina_cleopatra;23;2;5;0;0
Olimpia;tangerina_cleopatra;23;2;6;0;0
Olimpia;tangerina_cleopatra;23;2;7;0;0
Olimpia;tangerina_cleopatra;23;2;8;0;0
Olimpia;tangerina_cleopatra;23;2;9;0;0
Olimpia;tangerina_cleopatra;23;2;10;0;0
Olimpia;tangerina_cleopatra;23;3;1;3,5;0,313
Olimpia;tangerina_cleopatra;23;3;2;1,5;0,034
Olimpia;tangerina_cleopatra;23;3;3;0;0
Olimpia;tangerina_cleopatra;23;3;4;0;0
Olimpia;tangerina_cleopatra;23;3;5;0;0
Olimpia;tangerina_cleopatra;23;3;6;0;0
Olimpia;tangerina_cleopatra;23;3;7;0;0
Olimpia;tangerina_cleopatra;23;3;8;0;0
Olimpia;tangerina_cleopatra;23;3;9;0;0
Olimpia;tangerina_cleopatra;23;3;10;0;0
Olimpia;tangerina_cleopatra;23;4;1;0;0
Olimpia;tangerina_cleopatra;23;4;2;0;0
Olimpia;tangerina_cleopatra;23;4;3;0;0
Olimpia;tangerina_cleopatra;23;4;4;0;0
Olimpia;tangerina_cleopatra;23;4;5;0;0
Olimpia;tangerina_cleopatra;23;4;6;0;0
Olimpia;tangerina_cleopatra;23;4;7;0;0
Olimpia;tangerina_cleopatra;23;4;8;0;0
Olimpia;tangerina_cleopatra;23;4;9;0,2;0,029
Olimpia;tangerina_cleopatra;23;4;10;0,2;0,054
Olimpia;tangerina_cleopatra;23;5;1;0;0
Olimpia;tangerina_cleopatra;23;5;2;0;0
Olimpia;tangerina_cleopatra;23;5;3;0;0
Olimpia;tangerina_cleopatra;23;5;4;0,5;0,118
Olimpia;tangerina_cleopatra;23;5;5;0;0
Olimpia;tangerina_cleopatra;23;5;6;0;0
Olimpia;tangerina_cleopatra;23;5;7;0;0
Olimpia;tangerina_cleopatra;23;5;8;0;0
Olimpia;tangerina_cleopatra;23;5;9;0,5;0,025
Olimpia;tangerina_cleopatra;23;5;10;2;0,2
Olimpia;tangerina_cleopatra;23;6;1;0;0
Olimpia;tangerina_cleopatra;23;6;2;0;0
Olimpia;tangerina_cleopatra;23;6;3;0;0
Olimpia;tangerina_cleopatra;23;6;4;0;0
Olimpia;tangerina_cleopatra;23;6;5;0,2;0,061
Olimpia;tangerina_cleopatra;23;6;6;0;0
Olimpia;tangerina_cleopatra;23;6;7;0;0
Olimpia;tangerina_cleopatra;23;6;8;0,5;0,276
Olimpia;tangerina_cleopatra;23;6;9;0,8;0,276
Olimpia;tangerina_cleopatra;23;6;10;1;0,643
EEL;tangerina_cleopatra;24;2;1;0,2;0,029
EEL;tangerina_cleopatra;24;2;2;0;0
EEL;tangerina_cleopatra;24;2;3;0;0
EEL;tangerina_cleopatra;24;2;4;0;0
EEL;tangerina_cleopatra;24;2;5;0;0
EEL;tangerina_cleopatra;24;2;6;0;0
EEL;tangerina_cleopatra;24;2;7;0;0
EEL;tangerina_cleopatra;24;2;8;0;0
EEL;tangerina_cleopatra;24;2;9;0;0
EEL;tangerina_cleopatra;24;2;10;0;0
EEL;tangerina_cleopatra;24;3;1;0,5;0,093
EEL;tangerina_cleopatra;24;3;2;0;0
EEL;tangerina_cleopatra;24;3;3;1;0,2
EEL;tangerina_cleopatra;24;3;4;0;0
EEL;tangerina_cleopatra;24;3;5;0;0
EEL;tangerina_cleopatra;24;3;6;0;0
EEL;tangerina_cleopatra;24;3;7;0,2;0,047
EEL;tangerina_cleopatra;24;3;8;0;0
EEL;tangerina_cleopatra;24;3;9;0,2;0,15
EEL;tangerina_cleopatra;24;3;10;0;0
EEL;tangerina_cleopatra;24;4;1;0;0
EEL;tangerina_cleopatra;24;4;2;0;0
EEL;tangerina_cleopatra;24;4;3;0;0
EEL;tangerina_cleopatra;24;4;4;0;0
EEL;tangerina_cleopatra;24;4;5;0;0
EEL;tangerina_cleopatra;24;4;6;0;0
EEL;tangerina_cleopatra;24;4;7;0;0
EEL;tangerina_cleopatra;24;4;8;0;0
EEL;tangerina_cleopatra;24;4;9;0;0
EEL;tangerina_cleopatra;24;4;10;0,3;0,25
EEL;tangerina_cleopatra;24;5;1;0;0
EEL;tangerina_cleopatra;24;5;2;0;0
EEL;tangerina_cleopatra;24;5;3;1;0,071
EEL;tangerina_cleopatra;24;5;4;0;0
EEL;tangerina_cleopatra;24;5;5;0;0
EEL;tangerina_cleopatra;24;5;6;0;0
EEL;tangerina_cleopatra;24;5;7;1;0,143
EEL;tangerina_cleopatra;24;5;8;4;0,192
EEL;tangerina_cleopatra;24;5;9;2;0,24
EEL;tangerina_cleopatra;24;5;10;0;0
